,codimap_category,codimap_title,codimap_date,views,comment_numbers,codimap_explain,codimap_hashtag,codimap_imgurl
0,캐주얼,톤온톤 코디,21.07.02,"17,225",50,편하게 입기 좋은 반팔 티셔츠와 와이드 팬츠를 연출하고 크로스 백으로 마무리한 캐주얼 룩,"#톤온톤,#뉴트럴톤,#캠퍼스,#피크닉,#와이드핏,#오버핏,#꾸안꾸,#여름,#캐주얼,#벗딥,#엠엠엘지,#캐치볼,#예일,#반원 아틀리에,#토트백,#잡지/무크지,#캡/야구 모자,#캔버스/단화,#반소매 티셔츠",https://image.msscdn.net/images/codimap/detail/4035/detail_4035_1_500.jpg?202401091201
1,캐주얼,블랙 매니아,21.02.23,"36,288",47,편안한 무드의 조거 팬츠에 블랙 스웨트셔츠를 매치한 후 볼캡으로 마무리한 캐주얼 룩,"#봄,#캐주얼,#라퍼지스토어,#다이아몬드 레이라,#나이키,#엠프렌즈,#모티패스트,#이에스엔,#안경 소품,#디퓨저/캔들,#반소매 티셔츠,#셔츠/블라우스,#패션스니커즈화,#케이스/슬리브,#캡/야구 모자,#레더/라이더스 재킷,#맨투맨/스웨트셔츠",https://image.msscdn.net/images/codimap/detail/1969/detail_1969_1_500.jpg?202401091201
2,캐주얼,오늘의 코디,22.03.22,"13,373",43,로고 디테일이 돋보이는 스웨트셔츠와 데님 팬츠를 코디하고 스니커즈로 완성한 캐주얼 룩,"#로고플레이,#오버핏,#스티치,#캠퍼스,#봄,#캐주얼,#유니폼브릿지,#아디다스,#47브랜드,#하 아카이브,#어반디타입,#데님 팬츠,#안경 소품,#액자/포스터,#패션스니커즈화,#캡/야구 모자,#메신저/크로스 백,#맨투맨/스웨트셔츠",https://image.msscdn.net/images/codimap/detail/13814/detail_13814_1_500.jpg?202401091201
3,댄디,추천 댄디 룩,21.09.15,"21,573",32,담백한 디테일의 니트와 셔츠를 레이어드하고 데님 팬츠를 더해 완성한 댄디 룩,"#데이트,#그래픽,#레이어드룩,#가을,#댄디,#엘무드,#뮤지엄바이비컨,#테이크이지,#로스트가든,#아르반,#플랙,#누깍,#반소매 티셔츠,#니트/스웨터,#안경,#셔츠/블라우스,#부츠,#블루종/MA-1,#데님 팬츠,#숄더백",https://image.msscdn.net/images/codimap/detail/6746/detail_6746_1_500.jpg?202401091201
4,캐주얼,릴랙스 룩,21.02.23,"24,011",25,플라워 자수가 눈에 띄는 니트에 조거 팬츠를 더한 후 레드 볼캡으로 컬러 포인트를 준 이지 캐주얼 룩,"#봄,#캐주얼,#카시오,#코닥,#제로,#와릿이즌,#뉴발란스,#커버낫,#디지털,#미니스커트,#캡/야구 모자,#트레이닝/조거 팬츠",https://image.msscdn.net/images/codimap/detail/1974/detail_1974_1_500.jpg?202401091201
5,스트릿,힙하다 힙해,21.02.03,"36,058",24,레더 블루종 점퍼에 오버사이즈 니트와 조거 팬츠를 매치하고 블루 컬러 볼캡으로 멋을 더한 스트릿 룩,"#봄,#스트릿,#제로,#월간,#라퍼지스토어,#키치오브제,#블론드나인,#47브랜드,#트레이닝/조거 팬츠,#액자/포스터,#목걸이/펜던트,#레더/라이더스 재킷,#캔버스/단화,#니트/스웨터,#캡/야구 모자",https://image.msscdn.net/images/codimap/detail/1701/detail_1701_1_500.jpg?202401091201
6,댄디,데이트 코디,21.12.24,"10,953",19,깔끔한 무드의 니트에 데님 팬츠를 스타일링하고 스니커즈로 마무리한 댄디 룩,"#남친룩,#레더,#데이트,#테이퍼드핏,#오버핏,#소개팅,#스티치,#겨울,#댄디,#쿠어,#에스에스알엘,#플랙,#유니폼브릿지,#슈마커,#예일,#니트/스웨터,#메신저/크로스 백,#데님 팬츠,#숏패딩/숏헤비 아우터,#캔버스/단화,#머플러",https://image.msscdn.net/images/codimap/detail/10584/detail_10584_1_500.jpg?202401091201
7,캐주얼,심플한 코디,21.07.30,"41,336",18,로고 프린팅이 돋보이는 반팔 티셔츠와 스웨트 팬츠를 매치하고 스니커즈로 완성한 이지 캐주얼 룩,"#로고플레이,#편안한,#원마일웨어,#와이드핏,#여름,#캐주얼,#리,#세미콜론 아이웨어,#제로,#반스,#베지터블테이블,#셔츠/블라우스,#반소매 티셔츠,#안경,#트레이닝/조거 팬츠,#캔버스/단화,#캡/야구 모자",https://image.msscdn.net/images/codimap/detail/5053/detail_5053_1_500.jpg?202401091201
8,댄디,훈훈 남친 룩,21.03.24,"19,981",17,체크 패턴이 돋보이는 블레이저에 셔츠와 데님 팬츠를 더하고 담백한 구두로 마무리한 댄디 룩,"#봄,#댄디,#모디파이드,#반,#락포트,#수아레,#슈트/블레이저 재킷,#기타 시계,#메신저/크로스 백,#데님 팬츠,#구두,#셔츠/블라우스",https://image.msscdn.net/images/codimap/detail/2392/detail_2392_1_500.jpg?202401091201
9,댄디,서머 데이트 룩,21.07.26,"8,352",17,깔끔한 셔츠와 니트 베스트를 레이어드하고 클러치 백으로 완성한 댄디 룩,"#미니멀,#데이트,#오버핏,#로고플레이,#하객,#화사한,#여름,#댄디,#러프넥,#비슬로우,#퍼스텝,#레테르코모,#캘빈클라인 진,#구두,#코튼 팬츠,#셔츠/블라우스,#베스트,#클러치 백",https://image.msscdn.net/images/codimap/detail/4851/detail_4851_1_500.jpg?202401091201
10,댄디,남친 룩으로 제격,21.12.24,"10,171",17,깔끔한 디테일의 니트와 데님 팬츠를 매치하고 싱글 코트로 마무리한 댄디 룩,"#데이트,#레더,#남친룩,#얼죽코,#체크,#소개팅,#와이드핏,#겨울,#댄디,#퀄팩,#쿠어,#트래블,#위더로드,#토피,#수아레,#토트백,#잡지/무크지,#겨울 싱글 코트,#디지털,#머플러,#부츠,#데님 팬츠,#니트/스웨터",https://image.msscdn.net/images/codimap/detail/10583/detail_10583_1_500.jpg?202401091201
11,캐주얼,지금 입기 좋아,21.08.31,"20,876",16,오버 핏 스웨트셔츠와 베이지 컬러 팬츠를 코디하고 더비 슈즈로 완성한 캐주얼 룩,"#꾸안꾸,#남친룩,#핀턱,#캠퍼스,#와이드핏,#여름,#캐주얼,#브래디백,#와일드 브릭스,#라퍼지스토어,#닥터마틴,#메신저/크로스 백,#잡지/무크지,#팔찌,#맨투맨/스웨트셔츠,#구두",https://image.msscdn.net/images/codimap/detail/6174/detail_6174_1_500.jpg?202401091201
12,캐주얼,꾸안꾸 코디,22.11.04,"5,190",15,그래픽 프린팅이 돋보이는 스웨트셔츠와 코튼 팬츠를 매치하고 숏 패딩을 더해 연출한 캐주얼 룩,"#겨울,#캐주얼,#글로스턴,#덴메이드,#리트리버클럽,#버빌리안,#커버낫,#토마스모어,#프레드페리,#로고플레이,#그래픽,#코듀로이,#캠퍼스,#꾸안꾸,#심볼,#레이어드룩,#코튼 팬츠,#안경,#메신저/크로스 백,#셔츠/블라우스,#맨투맨/스웨트셔츠,#캔버스/단화,#숏패딩/숏헤비 아우터",https://image.msscdn.net/images/codimap/detail/19592/detail_19592_1_500.jpg?202401091201
13,아메카지,아메리칸 캐주얼,21.12.21,"5,830",14,코듀로이 소재가 돋보이는 베스트와 셔츠를 레이어드하고 벌룬 핏 팬츠를 더해 마무리한 아메리칸 캐주얼 룩,"#뉴트럴톤,#핀턱,#벌룬핏,#레이어드룩,#체크,#로고플레이,#퀼팅,#아메카지,#코듀로이,#겨울,#아메리칸 캐주얼,#프리즘웍스,#와일드 브릭스,#마인드브릿지,#코스트원더,#유니버셜 케미스트리,#레인보우샌들,#기타 아우터,#비니,#메신저/크로스 백,#잡지/무크지,#패딩 베스트,#셔츠/블라우스,#코튼 팬츠,#헌팅캡/베레모,#구두,#모카신/보트 슈즈",https://image.msscdn.net/images/codimap/detail/10377/detail_10377_1_500.jpg?202401091201
14,비즈니스캐주얼,깔끔하게 즐겨,21.11.09,"6,600",13,체크 패턴이 돋보이는 블레이저 셋업과 더블 코트를 매치하고 토트백으로 연출한 포멀 룩,"#단정한,#출근룩,#격식,#레더,#체크,#셋업코디,#가을,#포멀,#코네트,#엘무드,#프레리,#탄틴,#폭스바겐 와치,#겨울 더블 코트,#디지털,#니트/스웨터,#슈트/블레이저 재킷,#구두,#토트백,#쿼츠 아날로그,#비즈니스캐주얼",https://image.msscdn.net/images/codimap/detail/8811/detail_8811_1_500.jpg?202401091201
15,아메카지,남다른 감각,21.11.17,"5,068",11,코듀로이 소재의 베스트와 셔츠를 레이어드하고 벌룬 팬츠를 더해 연출한 아메리칸 캐주얼 룩,"#뉴트럴톤,#레이어드룩,#코듀로이,#아메카지,#벌룬핏,#가을,#아메리칸 캐주얼,#프리즘웍스,#와일드 브릭스,#미니멀프로젝트,#닥터마틴,#유니폼브릿지,#디미트리블랙,#반소매 티셔츠,#셔츠/블라우스,#머플러,#코튼 팬츠,#헌팅캡/베레모,#구두,#사파리/헌팅 재킷",https://image.msscdn.net/images/codimap/detail/9136/detail_9136_1_500.jpg?202401091201
16,캐주얼,편안함의 완성,21.10.04,"20,066",11,편하게 입기 좋은 스웨트셔츠와 플리스를 연출하고 볼캡으로 완성한 이지 캐주얼 룩,"#오버핏,#플리스,#리버서블,#편안한,#원마일웨어,#가을,#캐주얼,#프로스펙스,#브렌슨,#고다신,#커버낫,#주네시 스포츠 클럽,#제멋,#캔버스/단화,#트레이닝/조거 팬츠,#안경 소품,#액자/포스터,#이어폰,#플리스/뽀글이,#캡/야구 모자,#맨투맨/스웨트셔츠",https://image.msscdn.net/images/codimap/detail/7449/detail_7449_1_500.jpg?202401091201
17,캐주얼,편하게 완성,21.07.21,"15,327",10,그린 컬러의 반팔 티셔츠와 스웨트 팬츠를 코디하고 스니커즈로 완성한 이지 캐주얼 룩,"#편안한,#캠퍼스,#원마일웨어,#로고플레이,#여름,#캐주얼,#엠엠엘지,#제로,#캉골,#칼하트,#나이키,#캡/야구 모자,#트레이닝/조거 팬츠,#백팩,#반소매 티셔츠,#패션스니커즈화",https://image.msscdn.net/images/codimap/detail/4707/detail_4707_1_500.jpg?202401091201
18,캐주얼,원 마일 웨어,21.10.08,"17,061",10,귀여운 그래픽이 돋보이는 스웨트셔츠에 와이드 팬츠를 더하고 비니와 스니커즈로 완성한 이지 캐주얼 룩,"#와이드핏,#체크,#그래픽,#지브라,#편안한,#원마일웨어,#가을,#캐주얼,#제로,#반스,#미니멀프로젝트,#엘엠씨,#원헌드레드퍼센트,#트레이닝/조거 팬츠,#캔버스/단화,#비니,#맨투맨/스웨트셔츠",https://image.msscdn.net/images/codimap/detail/7692/detail_7692_1_500.jpg?202401091201
19,비즈니스캐주얼,매력적인 포멀 룩,21.09.17,"11,716",10,깔끔한 디테일의 셔츠와 베스트를 레이어드하고 슬랙스로 완성한 포멀 룩,"#미니멀,#남친룩,#데이트,#레더,#레이어드룩,#가을,#포멀,#비에스큐티바이클래시,#후러브스아트,#라퍼지스토어,#캘빈클라인 진,#르네 하우윈,#유니폼브릿지,#블론드나인,#부츠,#기타 스니커즈,#슈트 팬츠/슬랙스,#안경 소품,#디지털,#클러치 백,#안경,#베스트,#비즈니스캐주얼",https://image.msscdn.net/images/codimap/detail/6872/detail_6872_1_500.jpg?202401091201
20,캐주얼,레이어드의 매력,21.06.04,"12,773",9,블랙 컬러 베스트와 셔츠를 레이어드한 후 카고 데님 팬츠로 완성한 캐주얼 룩,"#레이어드룩,#남친룩,#여름,#캐주얼,#아코스튜디오스페이스,#어반스터프,#뉴발란스,#리,#라퍼지스토어,#니트/스웨터,#데님 팬츠,#에코백",https://image.msscdn.net/images/codimap/detail/3469/detail_3469_1_500.jpg?202401091201
21,댄디,레이어드의 매력,21.11.23,"10,535",8,깔끔하게 입기 좋은 터틀넥 니트와 베스트를 레이어드하고 슬랙스를 더해 완성한 댄디 룩,"#레이어드룩,#레더,#남친룩,#데이트,#뉴트럴톤,#소개팅,#가을,#댄디,#블루엘리펀트,#수아레,#파인드카푸어,#토마스모어,#시그니처,#컬러콜라,#라퍼지스토어,#안경,#니트/스웨터,#숄더백,#슈트 팬츠/슬랙스,#부츠",https://image.msscdn.net/images/codimap/detail/9377/detail_9377_1_500.jpg?202401091201
22,캐주얼,잘 고른 재킷,20.10.28,"20,848",8,루즈 핏의 퀼팅 재킷에 블랙 와이드 진을 매치하고 스니커즈로 포인트를 더한 캐주얼 룩,"#가을,#캐주얼,#칼하트,#라츠,#이벳필드,#커버낫,#셔츠/블라우스,#데님 팬츠,#캡/야구 모자",https://image.msscdn.net/images/codimap/detail/283/detail_283_1_500.jpg?202401091201
23,캐주얼,발랄함 가득!,21.07.05,"3,229",8,스트라이프 패턴이 돋보이는 카디건에 데님 팬츠를 코디하고 샌들로 마무리한 캐주얼 룩,"#오버핏,#스트라이프,#빈티지,#페이즐리,#여름,#캐주얼,#와일드 브릭스,#예루살렘 샌들,#피콰드로,#유니폼브릿지,#에잇세컨즈,#스카프/반다나,#반다나/헤어밴드/거트,#샌들,#메신저/크로스 백,#숏 팬츠",https://image.msscdn.net/images/codimap/detail/4084/detail_4084_1_500.jpg?202401091201
24,비즈니스캐주얼,깔끔한 매력,21.03.08,"13,999",8,"체크 패턴이 매력적인 블레이저 재킷과 니트, 슬랙스로 깔끔하게 연출한 포멀 룩","#봄,#포멀,#모디파이드,#엘무드,#조셉트,#로우로우,#에스피오나지,#슈트/블레이저 재킷,#기타 시계,#반소매 티셔츠,#니트/스웨터,#구두,#안경,#셔츠/블라우스,#비즈니스캐주얼",https://image.msscdn.net/images/codimap/detail/2137/detail_2137_1_500.jpg?202401091201
25,댄디,남친 룩의 정석,20.11.04,"16,645",8,깔끔한 실루엣의 체크 코트와 카디건을 레이어드하고 로퍼로 마무리한 댄디 룩,"#데이트,#가을,#댄디,#커스텀어클락,#브아빗,#커스텀에이드,#와릿이즌,#쿠어,#삭스더랭귀지,#반소매 티셔츠,#니트/스웨터,#샌들,#데님 팬츠,#안경,#구두,#로퍼,#카디건,#겨울 기타 코트,#양말",https://image.msscdn.net/images/codimap/detail/421/detail_421_1_500.jpg?202401091201
26,시크,시크한 감각,21.08.20,"3,901",8,페이즐리 패턴이 돋보이는 슬리브리스에 트위드 재킷을 더하고 부츠 컷 팬츠로 완성한 시크 룩,"#모노톤,#페이즐리,#부츠컷,#트위드,#크롭,#여름,#시크,#서포트라이트,#뮤트뮤즈,#비에이블투,#렉켄,#유즈,#선글라스,#숄더백,#슈트/블레이저 재킷,#힐/펌프스,#민소매 티셔츠",https://image.msscdn.net/images/codimap/detail/5779/detail_5779_1_500.jpg?202401091201
27,캐주얼,서머 캠퍼스 룩,22.07.19,"3,342",8,캐주얼 무드의 카라 티셔츠와 숏 팬츠를 셋업으로 매치한 후 메신저 백으로 마무리한 캐주얼 룩,"#편안한,#캠퍼스,#꾸안꾸,#뉴트럴톤,#컬러블록,#여름,#캐주얼,#핍스,#컨버스,#파르티멘토,#노커피,#메신저/크로스 백,#기타 컬처,#캔버스/단화,#피케/카라 티셔츠,#케이스/슬리브",https://image.msscdn.net/images/codimap/detail/17730/detail_17730_1_500.jpg?202401091201
28,비즈니스캐주얼,손색 없는 단정함,21.11.12,"3,380",8,단정한 분위기의 더블 코트와 슬랙스를 코디한 후 브리프케이스로 연출한 포멀 룩,"#단정한,#격식,#출근룩,#가을,#포멀,#마스카,#스위치,#매너그램,#더니트컴퍼니,#하루타,#사운즈라이프,#아노트,#안데르센 안데르센,#안경,#브리프케이스,#기타 컬처,#넥타이,#구두,#겨울 더블 코트,#셔츠/블라우스,#머플러,#비즈니스캐주얼",https://image.msscdn.net/images/codimap/detail/8978/detail_8978_1_500.jpg?202401091201
29,댄디,훈훈한 스타일,21.12.29,"3,682",7,아가일 패턴이 돋보이는 카디건과 데님 팬츠를 매치하고 머플러를 더해 연출한 댄디 룩,"#아가일,#레더,#남친룩,#데이트,#슬림핏,#겨울,#댄디,#트릴리온,#필루미네이트,#쿠어,#커스텀에이드,#커스텀어클락,#247 서울,#엘엠씨,#토트백,#반소매 티셔츠,#셔츠/블라우스,#데님 팬츠,#안경 소품,#부츠,#겨울 더블 코트,#머플러,#카디건",https://image.msscdn.net/images/codimap/detail/10738/detail_10738_1_500.jpg?202401091201
30,캐주얼,러블리 캐주얼,20.11.18,"10,819",7,"핑크 컬러 카디건과 터틀넥 니트, 데님 팬츠를 매치하고 비니로 완성한 캐주얼 룩","#가을,#캐주얼,#엠엘비,#5252 바이 오아이오아이,#아메스 월드와이드,#어피스오브케이크,#캔버스/단화,#비니,#메신저/크로스 백,#데님 팬츠",https://image.msscdn.net/images/codimap/detail/640/detail_640_1_500.jpg?202401091201
31,캐주얼,오늘의 무드,21.12.06,"7,057",7,편하게 입기 좋은 후드 티셔츠와 데님 팬츠를 매치하고 스타디움 재킷으로 마무리한 캐주얼 룩,"#캠퍼스,#로고플레이,#셀럽템,#SELF_LOVE,#와이드핏,#워싱,#겨울,#캐주얼,#이스트쿤스트,#에스피오나지,#야세,#후드 티셔츠,#스타디움 재킷,#데님 팬츠,#슬리퍼",https://image.msscdn.net/images/codimap/detail/9786/detail_9786_1_500.jpg?202401091201
32,비즈니스캐주얼,단정한 모습,21.11.26,"5,879",7,미니멀한 실루엣의 롱 코트와 슬랙스를 매치하고 브리프케이스로 마무리한 포멀 룩,"#모노톤,#단정한,#미니멀,#출근룩,#레더,#와이드핏,#가을,#포멀,#커스텀어클락,#시그니처,#슈커스,#탄틴,#베이직하우스,#수아레,#크리스챤모드,#반소매 티셔츠,#카디건,#슈트 팬츠/슬랙스,#안경 소품,#액자/포스터,#부츠,#브리프케이스,#긴소매 티셔츠,#쿼츠 아날로그,#비즈니스캐주얼",https://image.msscdn.net/images/codimap/detail/9506/detail_9506_1_500.jpg?202401091201
33,아메카지,색감에 반해,22.11.02,"7,503",7,버건디 컬러가 돋보이는 스웨트셔츠와 코튼 팬츠를 코디하고 피시테일 파카로 연출한 캐주얼 룩,"#겨울,#아메리칸 캐주얼,#라퍼지스토어,#리넥츠,#마지언타이틀,#이피티,#티엔피,#페이퍼보이,#레터링,#핀턱,#꾸안꾸,#아메카지,#비니,#사파리/헌팅 재킷,#캔버스/단화,#메신저/크로스 백,#맨투맨/스웨트셔츠,#코튼 팬츠",https://image.msscdn.net/images/codimap/detail/19546/detail_19546_1_500.jpg?202401091201
34,아메카지,센스 있는 아메카지,22.10.26,"8,423",7,코듀로이 소재가 돋보이는 코튼 팬츠와 니트를 코디하고 피시테일 파카로 마무리한 아메리칸 캐주얼 룩,"#아메카지,#뉴트럴톤,#스트라이프,#코듀로이,#핀턱,#편안한,#가을,#아메리칸 캐주얼,#바스토,#코드그라피,#비전스트릿웨어,#말렌,#루킹포유,#더블유브이프로젝트,#캔버스/단화,#사파리/헌팅 재킷,#니트/스웨터,#메신저/크로스 백,#비니,#코튼 팬츠",https://image.msscdn.net/images/codimap/detail/19410/detail_19410_1_500.jpg?202401091201
35,캐주얼,캠퍼스 룩,21.07.12,"7,456",7,패턴이 돋보이는 베스트와 반팔 티셔츠를 레이어드하고 데님 팬츠와 백팩으로 마무리한 캐주얼 룩,"#로고플레이,#체크,#캠퍼스,#여름,#캐주얼,#버빌리안,#오니츠카타이거,#스파오,#플랙,#예일,#백팩,#기타 컬처,#패션스니커즈화,#데님 팬츠,#반소매 티셔츠",https://image.msscdn.net/images/codimap/detail/4332/detail_4332_1_500.jpg?202401091201
36,캐주얼,캐주얼 룩의 정석,20.11.06,"16,420",7,패턴이 돋보이는 니트와 데님 재킷을 스타일링하고 슬랙스로 완성한 캐주얼 룩,"#가을,#캐주얼,#컨버스,#폴로 랄프 로렌,#리,#앤더슨벨,#홀리선,#캔버스/단화,#캡/야구 모자,#에코백,#잡지/무크지,#트러커 재킷",https://image.msscdn.net/images/codimap/detail/466/detail_466_1_500.jpg?202401091201
37,아메카지,아메카지의 정석,22.11.21,"9,130",6,퀼팅 디테일이 돋보이는 헌팅 재킷과 코듀로이 베스트를 코디하고 벌룬 핏 팬츠와 더비 슈즈로 연출한 아메리칸 캐주얼 룩,"#겨울,#아메리칸 캐주얼,#디미트리블랙,#로맨틱무브,#애끼,#에스피오나지,#예일,#카부,#프리즘웍스,#아메카지,#뉴트럴톤,#코듀로이,#퀼팅,#벌룬핏,#컬러블록,#헌팅캡/베레모,#셔츠/블라우스,#팔찌,#구두,#베스트,#사파리/헌팅 재킷,#코튼 팬츠",https://image.msscdn.net/images/codimap/detail/19873/detail_19873_1_500.jpg?202401091201
38,댄디,레더 스타일링,21.09.28,"8,266",6,깔끔한 디테일의 니트에 슬랙스를 코디하고 레더 재킷으로 마무리한 댄디 룩,"#레더,#단정한,#남친룩,#미니멀,#데이트,#와이드핏,#핀턱,#가을,#댄디,#내셔널 퍼블리시티,#리트,#비에스큐티바이클래시,#라퍼지스토어,#마하그리드,#일꼬르소,#클러치 백,#슈트 팬츠/슬랙스,#안경 소품,#부츠,#레더/라이더스 재킷,#목걸이/펜던트,#니트/스웨터",https://image.msscdn.net/images/codimap/detail/7224/detail_7224_1_500.jpg?202401091201
39,비즈니스캐주얼,클래식한 실루엣,21.01.15,"4,397",6,체크 패턴이 돋보이는 코트와 카디건을 레이어드하고 부츠로 멋을 더한 세미 포멀 룩,"#겨울,#포멀,#드로우핏,#발렌티노 루디,#에노우,#블랭크룸,#랩12,#벨룻,#겨울 더블 코트,#디지털,#페도라,#쿼츠 아날로그,#반려동물용품,#미니스커트,#부츠,#비즈니스캐주얼",https://image.msscdn.net/images/codimap/detail/1450/detail_1450_1_500.jpg?202401091201
40,캐주얼,귀여운 프레피 룩,21.06.04,"12,361",6,귀여운 자수 로고가 돋보이는 베스트에 숏 팬츠를 매치하고 크로스 백으로 포인트를 더한 캐주얼 룩,"#체크,#프레피룩,#레이어드룩,#피크닉,#여름,#캐주얼,#컨버스,#브래디백,#리,#후아유,#비욘드클로젯,#캔버스/단화,#메신저/크로스 백,#잡지/무크지,#숏 팬츠,#피케/카라 티셔츠,#베스트",https://image.msscdn.net/images/codimap/detail/3467/detail_3467_1_500.jpg?202401091201
41,댄디,데이트하는 날,21.09.07,"17,882",6,아가일 패턴이 돋보이는 카디건과 슬랙스를 코디하고 토트백으로 마무리한 댄디 룩,"#아가일,#모노톤,#데이트,#남친룩,#가을,#댄디,#엘에이알,#니티드,#후러브스아트,#까르벵 워치,#쌤소나이트 레드,#카디건,#슈트 팬츠/슬랙스,#쿼츠 아날로그,#토트백",https://image.msscdn.net/images/codimap/detail/6418/detail_6418_1_500.jpg?202401091201
42,스트릿,따라 입고 싶어,21.08.30,"2,269",6,컬러 블록이 돋보이는 윈드브레이커와 타이다이 티셔츠를 스타일링하고 조거 팬츠로 완성한 스트릿 룩,"#컬러블록,#타이다이,#그래픽,#페스티벌,#여름,#스트릿,#써치410,#논논,#어피스오브케이크,#스컬프터,#버킷/사파리햇,#목걸이/펜던트,#긴소매 티셔츠,#트레이닝/조거 팬츠",https://image.msscdn.net/images/codimap/detail/6116/detail_6116_1_500.jpg?202401091201
43,캐주얼,남친 룩 추천,21.06.11,"11,037",6,로고 프린팅이 돋보이는 티셔츠에 스트라이프 셔츠를 더하고 데님 팬츠로 마무리한 캐주얼 룩,"#남친룩,#스트라이프,#로고플레이,#모노톤,#꾸안꾸,#여름,#캐주얼,#리,#닥터마틴,#와릿이즌,#엑스톤즈,#셔츠/블라우스,#반소매 티셔츠,#샌들,#숄더백,#데님 팬츠",https://image.msscdn.net/images/codimap/detail/3666/detail_3666_1_500.jpg?202401091201
44,캐주얼,피크닉 가자!,21.08.20,"2,817",6,그래픽이 돋보이는 스웨트셔츠와 숏 팬츠를 스타일링한 후 스니커즈로 마무리한 캐주얼 룩,"#피크닉,#그래픽,#뉴트럴톤,#여름,#캐주얼,#그루브라임,#유니폼브릿지,#뉴발란스,#피지컬 에듀케이션 디파트먼트,#숏 팬츠,#선글라스,#액자/포스터,#버킷/사파리햇,#맨투맨/스웨트셔츠",https://image.msscdn.net/images/codimap/detail/5796/detail_5796_1_500.jpg?202401091201
45,아메카지,실패 없는 코디,21.06.11,"8,421",6,오버 핏 티셔츠와 벌룬 팬츠를 코디하고 샌들로 완성한 아메리칸 캐주얼 룩,"#미니멀,#아메카지,#뉴트럴톤,#벌룬핏,#여름,#아메리칸 캐주얼,#로우로우,#한글안경,#유니폼브릿지,#커버낫,#미니멀프로젝트,#메신저/크로스 백,#기타 컬처,#안경,#코튼 팬츠,#샌들,#반소매 티셔츠",https://image.msscdn.net/images/codimap/detail/3670/detail_3670_1_500.jpg?202401091201
46,아메카지,아메카지 무드,22.11.10,"6,505",6,패턴 디테일이 매력적인 베스트와 셔츠를 레이어드하고 코튼 팬츠로 완성한 아메리칸 캐주얼 룩,"#겨울,#아메리칸 캐주얼,#사운즈라이프,#윙스풋,#제이반스 클래식,#테이크이지,#포디어웍스,#프라이노크,#후브스,#아메카지,#레이어드룩,#뉴트럴톤,#벌룬핏,#머플러,#메신저/크로스 백,#셔츠/블라우스,#코튼 팬츠,#니트/스웨터,#캔버스/단화,#숏패딩/숏헤비 아우터",https://image.msscdn.net/images/codimap/detail/19699/detail_19699_1_500.jpg?202401091201
