,codimap_category,codimap_title,codimap_date,views,comment_numbers,codimap_explain,codimap_hashtag,codimap_imgurl
47,아메카지,아메카지 무드,22.06.17,"4,887",6,캐주얼 무드의 반소매 셔츠와 와이드 핏 팬츠를 매치하고 스니커즈로 완성한 아메리칸 캐주얼 룩,"#뉴트럴톤,#핀턱,#와이드핏,#아메카지,#린넨,#꾸안꾸,#여름,#아메리칸 캐주얼,#베르투치,#오니츠카타이거,#에메모가든,#프리즘웍스,#쿼츠 아날로그,#패션스니커즈화,#메신저/크로스 백,#셔츠/블라우스",https://image.msscdn.net/images/codimap/detail/17104/detail_17104_1_500.jpg?202401091201
48,비즈니스캐주얼,깔끔한 연출,21.11.10,"3,716",6,간결한 실루엣의 카디건과 슬랙스를 매치하고 더블 코트로 완성한 포멀 룩,"#와이드핏,#단정한,#출근룩,#미니멀,#모노톤,#가을,#포멀,#드로우핏,#인사일런스,#로헤이드,#비비엔디,#슈트 팬츠/슬랙스,#긴소매 티셔츠,#겨울 더블 코트,#안경,#구두,#비즈니스캐주얼",https://image.msscdn.net/images/codimap/detail/8856/detail_8856_1_500.jpg?202401091201
49,비즈니스캐주얼,완벽한 스타일링,21.09.15,"4,220",6,간결한 실루엣의 셔츠와 니트를 레이어드하고 슬랙스로 완성한 포멀 룩,"#레이어드룩,#톤온톤,#출근룩,#단정한,#미니멀,#레더,#가을,#포멀,#드로우핏,#씨오큐,#로스트가든,#에가든,#쿠어,#효지노리코,#필루미네이트,#반소매 티셔츠,#셔츠/블라우스,#슈트/블레이저 재킷,#구두,#시계 용품,#토트백,#슈트 팬츠/슬랙스,#비즈니스캐주얼",https://image.msscdn.net/images/codimap/detail/6755/detail_6755_1_500.jpg?202401091201
50,로맨틱,레트로 스타일링,21.05.17,"2,335",6,빈티지 무드의 블라우스와 데님 팬츠를 코디한 로맨틱 룩,"#봄,#로맨틱,#디모멘트,#게스,#앨리스마샤,#덱케,#리올그,#귀걸이,#데님 팬츠,#숄더백,#힐/펌프스,#헤어 액세서리,#셔츠/블라우스",https://image.msscdn.net/images/codimap/detail/3187/detail_3187_1_500.jpg?202401091201
51,비즈니스캐주얼,데이트 룩 완성!,21.02.08,"10,898",5,"미니멀 무드의 코트와 카디건, 슬랙스를 연출하고 스니커즈로 마무리한 세미 포멀 룩","#봄,#포멀,#무신사 스탠다드,#겨울 싱글 코트,#디지털,#페도라,#반소매 티셔츠,#카디건,#벨트,#니트/스웨터,#캔버스/단화,#슈트 팬츠/슬랙스,#안경 소품,#토이,#비즈니스캐주얼",https://image.msscdn.net/images/codimap/detail/1765/detail_1765_1_500.jpg?202401091201
52,캐주얼,가볍게 툭!,21.05.31,"3,500",5,로고 프린팅이 돋보이는 반팔 티셔츠와 데님 팬츠를 매치하고 플로럴 패턴 에코백으로 포인트를 준 캐주얼 룩,"#편안한,#로고플레이,#플라워,#슬림핏,#찢청,#봄,#캐주얼,#캐치볼,#소곤소곤,#닉앤니콜,#오드스튜디오,#하카블랙스,#캔버스/단화,#에코백,#잡지/무크지,#안경,#셔츠/블라우스,#반소매 티셔츠,#팔찌",https://image.msscdn.net/images/codimap/detail/3369/detail_3369_1_500.jpg?202401091201
53,캐주얼,레트로 무드,21.03.12,"11,756",5,스트라이프 패턴이 돋보이는 카라 티셔츠와 와이드 핏의 데님 팬츠를 매치하고 레트로한 무드가 느껴지는 안경으로 마무리한 캐주얼 룩,"#봄,#캐주얼,#캉골,#퍼블릭아이콘,#디스이즈네버댓,#루킹포유,#커버낫,#메신저/크로스 백,#기타 컬처,#데님 팬츠,#안경 소품,#헌팅캡/베레모,#캔버스/단화,#안경,#맨투맨/스웨트셔츠",https://image.msscdn.net/images/codimap/detail/2235/detail_2235_1_500.jpg?202401091201
54,캐주얼,활동하기 최고,21.09.23,"6,527",5,편하게 입기 좋은 스웨트셔츠와 블루종을 연출하고 스니커즈로 완성한 이지 캐주얼 룩,"#카고,#와이드핏,#편안한,#원마일웨어,#로고플레이,#가을,#캐주얼,#라퍼지스토어,#챕터에잇,#지프,#인터섹션,#데이트,#안경 소품,#디퓨저/캔들,#캡/야구 모자,#맨투맨/스웨트셔츠,#블루종/MA-1,#기타 스니커즈",https://image.msscdn.net/images/codimap/detail/7069/detail_7069_1_500.jpg?202401091201
55,캐주얼,그린 포인트!,21.05.28,"5,517",5,"그린 컬러가 돋보이는 반팔 니트와 숏 팬츠를 연출하고 토트백, 첼시 부츠로 완성한 캐주얼 룩","#파스텔,#피크닉,#봄,#캐주얼,#타게토,#닥터마틴,#108서울,#아메스 월드와이드,#리,#선글라스,#부츠,#기타 스니커즈,#헤어 액세서리,#니트/스웨터,#숄더백",https://image.msscdn.net/images/codimap/detail/3341/detail_3341_1_500.jpg?202401091201
56,스트릿,스트라이프 활용법,21.02.19,"2,879",5,데미지 디테일이 돋보이는 스트라이프 니트에 카고 팬츠를 매치하고 하이 탑 스니커즈로 마무리한 스트릿 룩,"#봄,#스트릿,#로파이,#베이어다이나믹,#플레어업,#어나더유스,#앤더슨벨,#레더/라이더스 재킷,#기타 시계,#캡/야구 모자,#헤드폰,#트레이닝/조거 팬츠,#목걸이/펜던트",https://image.msscdn.net/images/codimap/detail/1937/detail_1937_1_500.jpg?202401091201
57,캐주얼,캐주얼 룩의 정석,21.03.12,"11,198",5,스트라이프 패턴이 돋보이는 카라 티셔츠와 치노 팬츠를 매치하고 오렌지 컬러의 캠프캡으로 포인트 준 캐주얼 룩,"#봄,#캐주얼,#유니폼브릿지,#커버낫,#캡/야구 모자,#에코백,#코튼 팬츠,#캔버스/단화,#맨투맨/스웨트셔츠",https://image.msscdn.net/images/codimap/detail/2237/detail_2237_1_500.jpg?202401091201
58,캐주얼,멋 내는 방법,21.07.02,"5,989",5,그래픽이 돋보이는 반팔 티셔츠와 와이드 핏 데님 팬츠를 매치하고 스니커즈로 마무리한 캐주얼 룩,"#톤온톤,#그래픽,#캠퍼스,#남친룩,#와이드핏,#여름,#캐주얼,#아식스,#토피,#원헌드레드퍼센트,#밀리어네어햇,#패션스니커즈화,#데님 팬츠,#반소매 티셔츠,#헌팅캡/베레모",https://image.msscdn.net/images/codimap/detail/4031/detail_4031_1_500.jpg?202401091201
59,캐주얼,편하게 멋 내봐,21.09.08,"11,740",5,편하게 입기 좋은 스웨트셔츠와 데님 팬츠를 연출하고 백팩으로 완성한 캐주얼 룩,"#오버핏,#워싱,#캠퍼스,#꾸안꾸,#레이어드룩,#남친룩,#가을,#캐주얼,#제이반스 클래식,#커버낫,#페이탈리즘,#나이키,#팔찌,#백팩,#데님 팬츠,#기타 스니커즈,#셔츠/블라우스",https://image.msscdn.net/images/codimap/detail/6495/detail_6495_1_500.jpg?202401091201
60,캐주얼,편안한 조합,21.05.04,"19,397",5,캐주얼한 무드의 반팔 티셔츠와 와이드 팬츠를 코디하고 크로스 백으로 완성한 캐주얼 룩,"#봄,#캐주얼,#파르티멘토,#반스,#벗딥,#커버낫,#목걸이/펜던트,#캔버스/단화,#메신저/크로스 백,#코튼 팬츠,#반소매 티셔츠",https://image.msscdn.net/images/codimap/detail/3014/detail_3014_1_500.jpg?202401091201
61,캐주얼,센스 있어 보여,21.08.19,"2,121",5,크롭 니트에 데님 팬츠를 매치하고 스니커즈로 멋을 더한 캐주얼 룩,"#럭셔리,#찢청,#부츠컷,#하이웨이스트,#크롭,#여름,#캐주얼,#구찌,#앤더슨벨 포 우먼,#버버리,#디올,#팔찌,#숄더백,#캔버스/단화",https://image.msscdn.net/images/codimap/detail/5721/detail_5721_1_500.jpg?202401091201
62,캐주얼,가볍게 툭!,21.05.31,"3,500",5,로고 프린팅이 돋보이는 반팔 티셔츠와 데님 팬츠를 매치하고 플로럴 패턴 에코백으로 포인트를 준 캐주얼 룩,"#편안한,#로고플레이,#플라워,#슬림핏,#찢청,#봄,#캐주얼,#캐치볼,#소곤소곤,#닉앤니콜,#오드스튜디오,#하카블랙스,#캔버스/단화,#에코백,#잡지/무크지,#안경,#셔츠/블라우스,#반소매 티셔츠,#팔찌",https://image.msscdn.net/images/codimap/detail/3369/detail_3369_1_500.jpg?202401091201
63,캐주얼,따라 입어봐,22.10.19,"6,585",5,레터링이 돋보이는 후드 티셔츠와 데님 팬츠를 코디하고 스니커즈로 마무리한 캐주얼 룩,"#레터링,#와이드핏,#오버핏,#꾸안꾸,#캠퍼스,#리버서블,#가을,#캐주얼,#티떠블유엔,#그레이버,#어퍼스트로피 콤마,#아디다스,#에즈카톤,#브랜디드,#후드 티셔츠,#메신저/크로스 백,#비니,#패션스니커즈화,#블루종/MA-1,#데님 팬츠",https://image.msscdn.net/images/codimap/detail/19290/detail_19290_1_500.jpg?202401091201
64,아메카지,멋있는 실루엣,22.01.28,"5,515",5,코듀로이 셔츠와 베스트를 스타일링하고 코튼 팬츠로 마무리한 아메리칸 캐주얼 룩,"#아메카지,#뉴트럴톤,#벌룬핏,#오버핏,#레이어드룩,#퍼,#코듀로이,#핀턱,#겨울,#아메리칸 캐주얼,#프리즘웍스,#클레망,#오버다인,#다이아몬드 레이라,#사운즈라이프,#숏패딩/숏헤비 아우터,#비니,#구두,#로퍼,#메신저/크로스 백,#셔츠/블라우스",https://image.msscdn.net/images/codimap/detail/11872/detail_11872_1_500.jpg?202401091201
65,캐주얼,데일리 캠퍼스 룩,22.04.01,"4,139",5,편하게 입기 좋은 후드 티셔츠와 데님 팬츠를 매치하고 숄더백으로 마무리한 캐주얼 룩,"#로고플레이,#콜라보,#오버핏,#와이드핏,#워싱,#캠퍼스,#파스텔,#봄,#캐주얼,#컨버스,#브랜디드,#비전스트릿웨어,#3130스튜디오,#씨네드,#캔버스/단화,#데님 팬츠,#후드 티셔츠,#케이스/슬리브,#숄더백",https://image.msscdn.net/images/codimap/detail/14269/detail_14269_1_500.jpg?202401091201
66,캐주얼,트렌디해!,21.12.24,"2,758",5,디테일이 매력적인 롱스커트와 카디건을 코디하고 비니로 멋을 더한 캐주얼 룩,"#화사한,#편안한,#캠퍼스,#꾸안꾸,#파스텔,#원마일웨어,#겨울,#캐주얼,#라퍼지스토어,#아이러니포르노 화이트라인,#인사일런스 우먼,#페넥,#핑크파인애플,#시티브리즈,#포즈간츠,#숏패딩/숏헤비 아우터,#카디건,#토트백,#비니,#캔버스/단화",https://image.msscdn.net/images/codimap/detail/10552/detail_10552_1_500.jpg?202401091201
67,걸리시,누구나 반해,21.12.24,"4,771",5,체크 패턴이 돋보이는 미니스커트와 스웨트셔츠를 코디하고 숄더백으로 완성한 걸리시 룩,"#그래픽,#체크,#레이어드룩,#플리스,#키높이,#글로시,#귀여운,#레더,#여친룩,#짧치,#겨울,#걸리시,#아파트먼트,#타게토,#어피스오브케이크,#룩캐스트,#닥터마틴,#이로우리,#케이크,#헌팅캡/베레모,#맨투맨/스웨트셔츠,#부츠,#기타 스니커즈,#플리스/뽀글이,#숄더백",https://image.msscdn.net/images/codimap/detail/10551/detail_10551_1_500.jpg?202401091201
68,캐주얼,캐주얼하게,21.08.18,"6,451",5,그래픽이 매력적인 스웨트셔츠와 데님 팬츠를 코디하고 백팩으로 완성한 캐주얼 룩,"#그래픽,#와이드핏,#캠퍼스,#꾸안꾸,#여름,#캐주얼,#캐치볼,#써드위브,#어널러코드,#리끌로우,#피지컬 에듀케이션 디파트먼트,#캔버스/단화,#백팩,#안경 소품,#안경,#맨투맨/스웨트셔츠",https://image.msscdn.net/images/codimap/detail/5699/detail_5699_1_500.jpg?202401091201
69,캐주얼,모노 톤 스타일링,21.08.09,"9,831",5,그레이 컬러 셔츠와 린넨 팬츠를 매치하고 볼캡과 크로스 백으로 연출한 캐주얼 룩,"#모노톤,#와이드핏,#미니멀,#레더,#남친룩,#스트라이프,#여름,#캐주얼,#몬스터리퍼블릭,#리,#닥터마틴,#라퍼지스토어,#메신저/크로스 백,#캡/야구 모자,#슬리퍼,#코튼 팬츠",https://image.msscdn.net/images/codimap/detail/5349/detail_5349_1_500.jpg?202401091201
70,캐주얼,레트로 무드,21.03.12,"11,756",5,스트라이프 패턴이 돋보이는 카라 티셔츠와 와이드 핏의 데님 팬츠를 매치하고 레트로한 무드가 느껴지는 안경으로 마무리한 캐주얼 룩,"#봄,#캐주얼,#캉골,#퍼블릭아이콘,#디스이즈네버댓,#루킹포유,#커버낫,#메신저/크로스 백,#기타 컬처,#데님 팬츠,#안경 소품,#헌팅캡/베레모,#캔버스/단화,#안경,#맨투맨/스웨트셔츠",https://image.msscdn.net/images/codimap/detail/2235/detail_2235_1_500.jpg?202401091201
71,캐주얼,멋 내는 방법,21.07.02,"5,989",5,그래픽이 돋보이는 반팔 티셔츠와 와이드 핏 데님 팬츠를 매치하고 스니커즈로 마무리한 캐주얼 룩,"#톤온톤,#그래픽,#캠퍼스,#남친룩,#와이드핏,#여름,#캐주얼,#아식스,#토피,#원헌드레드퍼센트,#밀리어네어햇,#패션스니커즈화,#데님 팬츠,#반소매 티셔츠,#헌팅캡/베레모",https://image.msscdn.net/images/codimap/detail/4031/detail_4031_1_500.jpg?202401091201
72,걸리시,워너비 스타일,22.10.21,"7,793",5,카키 컬러가 돋보이는 크롭 니트와 셔츠를 레이어드하고 미니스커트와 베레를 더해 완성한 걸리시 룩,"#레이어드룩,#크롭,#셔링,#짧치,#A라인,#뉴트럴톤,#핀턱,#가을,#걸리시,#셰르뚜아 서울,#엠엠지엘,#어반드레스,#헤인트,#뚜오미오,#파인드카푸어,#언더컨트롤 스튜디오,#부츠,#트러커 재킷,#미니스커트,#셔츠/블라우스,#토트백,#헌팅캡/베레모",https://image.msscdn.net/images/codimap/detail/19351/detail_19351_1_500.jpg?202401091201
73,걸리시,귀여운 매치,21.05.17,"1,946",5,오버 핏 셔츠와 플리츠스커트를 매치하고 그래픽 디테일이 매력적인 크로스 백으로 마무리한 걸리시 룩,"#봄,#걸리시,#유리메라,#큐리티,#플리즈프로젝트,#에잇세컨즈,#기타 스니커즈,#미니스커트,#메신저/크로스 백,#헤어 액세서리",https://image.msscdn.net/images/codimap/detail/3189/detail_3189_1_500.jpg?202401091201
74,캐주얼,편하게 멋 내봐,21.09.08,"11,740",5,편하게 입기 좋은 스웨트셔츠와 데님 팬츠를 연출하고 백팩으로 완성한 캐주얼 룩,"#오버핏,#워싱,#캠퍼스,#꾸안꾸,#레이어드룩,#남친룩,#가을,#캐주얼,#제이반스 클래식,#커버낫,#페이탈리즘,#나이키,#팔찌,#백팩,#데님 팬츠,#기타 스니커즈,#셔츠/블라우스",https://image.msscdn.net/images/codimap/detail/6495/detail_6495_1_500.jpg?202401091201
75,스트릿,힙한 무드,21.08.24,"4,578",5,그래픽이 돋보이는 반팔 티셔츠에 후드 티셔츠를 더하고 조거 팬츠로 완성한 스트릿 룩,"#모노톤,#그래픽,#유니크,#페스티벌,#크롭,#레이어드룩,#여름,#스트릿,#스컬프터,#제로플래닛,#배디,#시티브리즈,#네스티팬시클럽,#트레이닝/조거 팬츠,#숄더백,#후드 티셔츠,#반소매 티셔츠,#목걸이/펜던트",https://image.msscdn.net/images/codimap/detail/5873/detail_5873_1_500.jpg?202401091201
76,스트릿,스트릿 무드,21.09.06,"4,496",5,플리스 재킷과 슬리브리스를 연출하고 스니커즈로 포인트를 준 스트릿 룩,"#컬러블록,#페스티벌,#유니크,#화사한,#가을,#스트릿,#스컬프터,#논논,#디스이즈네버댓,#하이스쿨디스코,#5252 바이 오아이오아이,#트레이닝/조거 팬츠,#안경 소품,#디퓨저/캔들,#목걸이/펜던트,#비니,#플리스/뽀글이",https://image.msscdn.net/images/codimap/detail/6348/detail_6348_1_500.jpg?202401091201
77,스트릿,서머 스트릿,21.06.10,"2,709",5,유니크한 프린팅이 돋보이는 팬츠와 반팔 티셔츠를 매치하고 크로스 백으로 멋을 더한 스트릿 룩,"#컬러포인트,#유니크,#그래픽,#여름,#스트릿,#뎃츠잇,#알렌느,#오니츠카타이거,#노우웨이브,#팔렛,#지샥,#목걸이/펜던트,#메신저/크로스 백,#기타 컬처,#코튼 팬츠,#반소매 티셔츠,#디지털",https://image.msscdn.net/images/codimap/detail/3633/detail_3633_1_500.jpg?202401091201
78,걸리시,하이틴 무드,21.07.30,"4,250",4,뒷면 리본 디테일이 매력적인 크롭 티셔츠와 미니스커트를 연출하고 크로스 백으로 완성한 걸리시 룩,"#크롭,#체크,#짧치,#하이틴룩,#여름,#걸리시,#아파트먼트,#스칼렛또,#오아이오아이,#세인트스코트,#레이첼콕스,#미니스커트,#반지,#반소매 티셔츠,#메신저/크로스 백,#크로스백,#플랫 슈즈",https://image.msscdn.net/images/codimap/detail/5029/detail_5029_1_500.jpg?202401091201
79,캐주얼,숏 패딩 활용법,20.11.26,"8,898",4,자수 디테일이 돋보이는 스웨트셔츠와 코튼 팬츠를 스타일링하고 스니커즈로 포인트를 준 캐주얼 룩,"#가을,#캐주얼,#디스이즈네버댓,#비슬로우,#엘엠씨,#커버낫,#숏패딩/숏헤비 아우터,#백팩,#셔츠/블라우스,#맨투맨/스웨트셔츠",https://image.msscdn.net/images/codimap/detail/762/detail_762_1_500.jpg?202401091201
80,댄디,멋이란 이런 것,21.09.13,"3,368",4,담백한 실루엣의 셔츠와 니트 베스트를 레이어드하고 슬랙스를 더해 완성한 댄디 룩,"#레이어드룩,#모노톤,#와이드핏,#핀턱,#미니멀,#데이트,#레더,#가을,#댄디,#유니폼브릿지,#벨룻,#아노블리어,#드로우핏,#유니온블루,#비바스튜디오,#슈트 팬츠/슬랙스,#안경 소품,#액자/포스터,#구두,#베스트,#메신저/크로스 백,#팔찌,#셔츠/블라우스",https://image.msscdn.net/images/codimap/detail/6646/detail_6646_1_500.jpg?202401091201
81,시크,컬러에 주목!,21.08.19,995,4,"감각적인 디자인의 원피스와 크로스 백, 선글라스로 완성한 시크 룩","#럭셔리,#컬러블록,#플리츠,#여름,#시크,#막스마라,#페라가모,#앤더슨벨 포 우먼,#구찌,#발렌시아가,#선글라스,#귀걸이,#숄더백,#구두",https://image.msscdn.net/images/codimap/detail/5717/detail_5717_1_500.jpg?202401091201
82,캐주얼,꾸안꾸 코디,21.08.20,"6,042",4,스트라이프 패턴이 돋보이는 티셔츠와 조거 팬츠를 매치하고 볼캡으로 완성한 캐주얼 룩,"#편안한,#로고플레이,#스트라이프,#여름,#캐주얼,#마지언타이틀,#휠라,#컨버스,#스컬프터,#메신저/크로스 백,#캡/야구 모자,#트레이닝/조거 팬츠,#긴소매 티셔츠",https://image.msscdn.net/images/codimap/detail/5807/detail_5807_1_500.jpg?202401091201
83,캐주얼,스쿨 룩의 정석,21.08.03,"2,426",4,그래픽이 돋보이는 반팔 티셔츠와 데님 팬츠를 매치한 후 스니커즈로 포인트를 준 캐주얼 룩,"#그래픽,#캠퍼스,#남친룩,#꾸안꾸,#여름,#캐주얼,#벤 데이비스,#컨버스,#유니폼브릿지,#지샥,#나이스고스트클럽,#백팩,#기타 컬처,#캔버스/단화,#데님 팬츠,#디지털",https://image.msscdn.net/images/codimap/detail/5161/detail_5161_1_500.jpg?202401091201
84,캐주얼,센스 있는 조합,21.07.26,"6,278",4,그래픽이 돋보이는 반팔 티셔츠와 벌룬 팬츠를 매치하고 목걸이로 포인트를 준 캐주얼 룩,"#그래픽,#오버핏,#벌룬핏,#캠퍼스,#꾸안꾸,#여름,#캐주얼,#쿼르코어,#커스텀에이드,#미니멀프로젝트,#리끌로우,#언아웃핏,#비바스튜디오,#목걸이/펜던트,#캔버스/단화,#데님 팬츠,#안경 소품,#안경,#백팩,#반소매 티셔츠",https://image.msscdn.net/images/codimap/detail/4854/detail_4854_1_500.jpg?202401091201
85,스트릿,유니크한 매치,21.03.15,"1,674",4,로고 디테일이 돋보이는 블레이저 재킷과 유니크한 패턴의 데님 팬츠로 완성한 스트릿 룩,"#봄,#스트릿,#뎃츠잇,#이스트쿤스트,#리복,#라츠,#엠엘비,#볼컴,#목걸이/펜던트,#반소매 티셔츠,#패션스니커즈화,#데님 팬츠,#캡/야구 모자",https://image.msscdn.net/images/codimap/detail/2247/detail_2247_1_500.jpg?202401091201
86,댄디,매력적인 댄디 룩,21.08.02,"3,780",4,담백한 실루엣의 반팔 셔츠와 슬랙스를 연출하고 토트백으로 완성한 댄디 룩,"#와이드핏,#데이트,#레더,#미니멀,#여름,#댄디,#하프크라이즈 레이아웃,#제로,#스칼렛또블랙,#질스튜어트 맨 액세서리,#엘칸토,#슈트 팬츠/슬랙스,#안경 소품,#디퓨저/캔들,#셔츠/블라우스,#팔찌,#숄더백,#샌들",https://image.msscdn.net/images/codimap/detail/5105/detail_5105_1_500.jpg?202401091201
87,캐주얼,캠퍼스 코디 추천,22.04.29,"18,628",4,로고가 돋보이는 반팔 티셔츠와 와이드 핏 팬츠를 매치한 후 볼캡으로 마무리한 캐주얼 룩,"#캠퍼스,#로고플레이,#와이드핏,#컬러포인트,#봄,#캐주얼,#카비시,#수아레,#널디,#우알롱,#케이스/슬리브,#반소매 티셔츠,#코튼 팬츠,#기타 스니커즈,#캡/야구 모자",https://image.msscdn.net/images/codimap/detail/15351/detail_15351_1_500.jpg?202401091201
88,캐주얼,편하고 멋있게,21.07.14,"10,593",4,오버 핏 반팔 셔츠에 벌룬 숏 팬츠를 매치하고 버킷햇으로 멋을 더한 캐주얼 룩,"#오버핏,#벌룬핏,#시티보이룩,#로고플레이,#여름,#캐주얼,#트래블,#라퍼지스토어,#셔츠/블라우스,#메신저/크로스 백",https://image.msscdn.net/images/codimap/detail/4437/detail_4437_1_500.jpg?202401091201
89,댄디,블랙의 멋,21.10.26,"17,421",4,깔끔한 실루엣의 터틀넥 니트와 데님 팬츠를 코디하고 레더 재킷으로 마무리한 댄디 룩,"#레더,#모노톤,#데이트,#슬림핏,#가을,#댄디,#플랙,#에이징씨씨씨,#카시오,#닉앤니콜 포 맨,#로맨틱무브,#드로우핏,#데님 팬츠,#안경 소품,#액자/포스터,#레더/라이더스 재킷,#쿼츠 아날로그,#토트백,#부츠,#니트/스웨터",https://image.msscdn.net/images/codimap/detail/8281/detail_8281_1_500.jpg?202401091201
90,비즈니스캐주얼,트렌디한 출근 룩,21.10.06,"12,272",4,단정한 셔츠와 슈트 셋업을 매치하고 더비 슈즈로 완성한 포멀 룩,"#셋업코디,#출근룩,#단정한,#격식,#미니멀,#가을,#포멀,#마노모스,#닥터마틴,#라퍼지스토어,#수아레,#안경,#구두,#셔츠/블라우스,#비즈니스캐주얼",https://image.msscdn.net/images/codimap/detail/7530/detail_7530_1_500.jpg?202401091201
91,스트릿,시선 집중 베스트,21.02.25,"5,773",4,레오퍼드 패턴이 돋보이는 패딩 베스트에 후드 티셔츠를 매치하고 빅 로고 디테일의 스니커즈로 마무리한 스트릿 룩,"#봄,#스트릿,#페플,#엠엘비,#스컬캔디,#인스턴트펑크,#노스페이스,#반소매 티셔츠,#후드 티셔츠,#기타 스니커즈,#헤드폰,#트레이닝/조거 팬츠,#패딩 베스트",https://image.msscdn.net/images/codimap/detail/2019/detail_2019_1_500.jpg?202401091201
92,캐주얼,체크 패턴 활용법,20.10.29,"3,139",4,그린 컬러 니트와 슬랙스를 매치하고 안경으로 마무리한 이지 캐주얼 룩,"#가을,#캐주얼,#어커버,#유니폼브릿지,#미나브,#르네 하우윈,#슈트 팬츠/슬랙스,#안경 소품,#반소매 티셔츠,#셔츠/블라우스,#안경",https://image.msscdn.net/images/codimap/detail/330/detail_330_1_500.jpg?202401091201
93,캐주얼,지금 입기 좋아,22.04.14,"6,223",4,깔끔한 디자인의 반팔 티셔츠와 카고 팬츠를 코디하고 에코백으로 완성한 캐주얼 룩,"#캠퍼스,#와이드핏,#오버핏,#카고,#로고플레이,#봄,#캐주얼,#낫포너드,#파르티멘토,#리,#카시오,#커먼프로젝트,#트레이닝/조거 팬츠,#안경 소품,#셔츠/블라우스,#반소매 티셔츠,#에코백,#디지털",https://image.msscdn.net/images/codimap/detail/14701/detail_14701_1_500.jpg?202401091201
94,댄디,깔끔한 무드,21.10.01,"9,352",4,깔끔한 실루엣의 블루종에 니트와 데님 팬츠를 코디하고 앵클부츠로 마무리한 댄디 룩,"#미니멀,#남친룩,#오버핏,#레더,#데이트,#가을,#댄디,#테이크이지,#이오유스튜디오,#로스트가든,#피스워커,#프록시엘,#라퍼지스토어,#반소매 티셔츠,#니트/스웨터,#목걸이/펜던트,#부츠,#데님 팬츠,#브리프케이스",https://image.msscdn.net/images/codimap/detail/7394/detail_7394_1_500.jpg?202401091201
95,비즈니스캐주얼,담백한 실루엣,21.11.04,"3,805",4,와펜 디테일이 돋보이는 카디건과 슬랙스를 스타일링한 후 백팩으로 마무리한 포멀 룩,"#모노톤,#체크,#단정한,#핀턱,#출근룩,#레더,#와펜,#가을,#포멀,#비욘드클로젯,#쌤소나이트,#제로라운지,#트릴리온,#락포트,#수아레,#주앙옴므,#카디건,#백팩,#머플러,#셔츠/블라우스,#구두,#슈트 팬츠/슬랙스,#비즈니스캐주얼",https://image.msscdn.net/images/codimap/detail/8674/detail_8674_1_500.jpg?202401091201
